Key,Squad,Points,Group
2021-Gold Cup-Qatar,Qatar,0,A
2019-AFC Asian Cup-Iran,Iran,0,B
2019-AFC Asian Cup-South Korea,South Korea,0,H
2019-Copa America-Japan,Japan,0,E
2019-AFC Asian Cup-Saudi Arabia,Saudi Arabia,0,C
2019-AFC Asian Cup-Australia,Australia,0,D
2021-Africa Cup of Nations-Ghana,Ghana,0,H
2021-Africa Cup of Nations-Senegal,Senegal,0,A
2021-Africa Cup of Nations-Tunisia,Tunisia,0,D
2021-Africa Cup of Nations-Cameroon,Cameroon,0,G
2021-Africa Cup of Nations-Morocco,Morocco,0,F
2021-Gold Cup-Canada,Canada,0,F
2021-Gold Cup-Mexico,Mexico,0,C
2021-Gold Cup-United States,United States,0,B
2021-Gold Cup-Costa Rica,Costa Rica,0,E
2022-CONMEBOL WCQ-Brazil,Brazil,0,G
2022-CONMEBOL WCQ-Argentina,Argentina,0,C
2022-CONMEBOL WCQ-Ecuador,Ecuador,0,A
2022-CONMEBOL WCQ-Uruguay,Uruguay,0,H
2022-UEFA WCQ-Germany,Germany,0,E
2022-UEFA WCQ-Denmark,Denmark,0,D
2022-UEFA WCQ-Belgium,Belgium,0,F
2022-UEFA WCQ-France,France,0,D
2022-UEFA WCQ-Croatia,Croatia,0,F
2022-UEFA WCQ-Spain,Spain,0,E
2022-UEFA WCQ-Serbia,Serbia,0,G
2022-UEFA WCQ-England,England,0,B
2022-UEFA WCQ-Switzerland,Switzerland,0,G
2022-UEFA WCQ-Netherlands,Netherlands,0,A
2022-UEFA WCQ-Portugal,Portugal,0,H
2022-UEFA WCQ-Poland,Poland,0,C
2022-UEFA WCQ-Wales,Wales,0,B
