Team,Confederation,Group,xGS,xGA,Avg. Group Stage Points,Chance to Make Knockout Round,Chance to Make Quarter-Finals,Chance to Make Semi-Finals,Chance to Make Finals,Chance to Win World Cup
Qatar,AFC,A,1.47,1.05,3.4,23%,7%,3%,1%,0%
Iran,AFC,B,1.52,0.76,4.5,58%,22%,10%,4%,1%
South Korea,AFC,H,1.47,0.65,5.6,75%,35%,14%,6%,2%
Japan,AFC,E,1.59,1.15,3.1,19%,5%,2%,1%,0%
Saudi Arabia,AFC,C,1.18,0.77,3.7,30%,10%,3%,1%,0%
Australia,AFC,D,1.76,0.98,3.7,32%,15%,5%,2%,1%
Ghana,CAF,H,0.75,0.8,2.7,15%,3%,1%,0%,0%
Senegal,CAF,A,1.45,0.53,5.5,76%,38%,21%,10%,4%
Tunisia,CAF,D,1.07,0.64,3.5,26%,11%,4%,1%,0%
Cameroon,CAF,G,1.24,0.58,4.3,54%,26%,10%,4%,2%
Morocco,CAF,F,1.51,0.49,5.3,69%,34%,19%,10%,5%
Canada,CONCACAF,F,1.83,1.16,3,20%,6%,2%,1%,0%
Mexico,CONCACAF,C,1.82,0.71,5.5,74%,38%,17%,8%,4%
United States,CONCACAF,B,1.67,0.88,4.3,39%,15%,6%,2%,1%
Costa Rica,CONCACAF,E,1.13,1.04,2.5,12%,3%,1%,0%,0%
Brazil,CONMEBOL,G,1.85,0.54,5.9,79%,51%,27%,15%,8%
Argentina,CONMEBOL,C,1.52,0.71,4.9,62%,28%,11%,5%,2%
Ecuador,CONMEBOL,A,1.1,1.09,2.4,12%,3%,1%,0%,0%
Uruguay,CONMEBOL,H,1.24,1.05,3.4,24%,7%,2%,0%,0%
Germany,UEFA,E,2.63,0.75,6.2,83%,46%,27%,15%,8%
Denmark,UEFA,D,2.1,0.74,5.4,69%,41%,20%,9%,4%
Belgium,UEFA,F,2.43,0.65,5.9,79%,45%,27%,16%,9%
France,UEFA,D,1.85,0.64,5.4,73%,44%,21%,11%,5%
Croatia,UEFA,F,1.81,0.89,3.8,32%,12%,5%,2%,1%
Spain,UEFA,E,2.18,0.59,6.3,85%,49%,30%,17%,10%
Serbia,UEFA,G,2.02,1.07,3.9,31%,13%,5%,2%,1%
England,UEFA,B,2.24,0.6,6.5,86%,52%,32%,18%,10%
Switzerland,UEFA,G,1.76,0.93,3.9,36%,16%,6%,2%,1%
Netherlands,UEFA,A,2.45,0.59,6.8,89%,60%,40%,23%,14%
Portugal,UEFA,H,2.27,0.76,6.4,85%,49%,23%,12%,6%
Poland,UEFA,C,1.51,0.94,3.9,35%,13%,4%,1%,0%
Wales,UEFA,B,1.33,1.15,2.7,17%,4%,1%,0%,0%
