Squad,O. Poss,O. Gls,O. Sh,O. SoT,O. SoT%,O. PKatt,O. CrdY,O. CrdR,O. Int,CrdY,Confederation_AFC,Confederation_CAF,Confederation_CONCACAF,Confederation_CONMEBOL,Confederation_UEFA
Qatar,52.9,0.8,11.1,3.2,28,0.1,2.1,0.1,10.3,1.1,1,0,0,0,0
Iran,43,0.5,5.7,2,35.3,0.3,2.2,0,9.5,0.8,1,0,0,0,0
South Korea,31,0.4,9.8,2.5,25,0,2.1,0,10.6,0.8,1,0,0,0,0
Japan,47.9,1.3,13.2,3.8,27.5,0.3,1.9,0,10.3,0.7,1,0,0,0,0
Saudi Arabia,27.5,0.8,6.8,2.3,33.3,0.3,3,0.3,11,1.3,1,0,0,0,0
Australia,34,0.8,7.7,3,39,0.2,1.3,0,9.4,0.8,1,0,0,0,0
Ghana,49.9,1.1,10.4,2.9,28.7,0,1.5,0,7.5,1.5,0,1,0,0,0
Senegal,41.4,0.3,7.3,1.7,23.4,0.1,2.3,0.3,8.6,1.1,0,1,0,0,0
Tunisia,44.6,0.5,9.9,2.3,23.3,0.2,1.8,0.3,9.3,1,0,1,0,0,0
Cameroon,39.2,0.8,9.3,2.8,33.4,0,1.8,0.1,9.1,1.1,0,1,0,0,0
Morocco,39.1,0.5,6,1.6,24.6,0,2.3,0.1,8.2,0.7,0,1,0,0,0
Canada,46.1,1.2,11,3.3,31.8,0.3,1.2,0.1,7.1,1.9,0,0,1,0,0
Mexico,34.3,0.5,8.1,2.3,28.2,0.1,1.9,0,8,1,0,0,1,0,0
United States,44.5,0.2,12.7,3.4,27,0.2,1.4,0,7.2,0.4,0,0,1,0,0
Costa Rica,44.1,1,13.3,3.7,28.3,0.2,1.9,0.1,9.1,1.6,0,0,1,0,0
Brazil,39.7,0.3,7.3,2.2,29.9,0,2.9,0.2,12.7,1.6,0,0,0,1,0
Argentina,45.2,0.5,7.8,2.4,31.2,0.3,2.8,0.1,10.8,1.6,0,0,0,1,0
Ecuador,48.2,1.3,10.5,3.5,32.7,0.2,2.3,0.1,10.2,2.2,0,0,0,1,0
Uruguay,51.5,1,9.5,3.6,37.2,0.1,1.8,0.1,12.1,1.3,0,0,0,1,0
Germany,29.7,0.7,7,2.3,31.1,0.1,1.5,0,13.6,1,0,0,0,0,1
Denmark,40.4,0.6,7.4,2.3,30.5,0.1,2,0.1,11.6,0.9,0,0,0,0,1
Belgium,35.4,0.5,8.6,2.5,29.9,0,1.6,0,14.6,0.9,0,0,0,0,1
France,36,0.7,5.4,1.7,32.4,0.2,1.7,0,11,1.2,0,0,0,0,1
Croatia,37.4,0.8,7.8,2.9,37.8,0,1.7,0.1,11.8,1.8,0,0,0,0,1
Spain,25.4,0.6,5.3,2.1,39.1,0.1,1.5,0.1,12.8,1.2,0,0,0,0,1
Serbia,46.1,1.4,11.4,3.4,28.7,0.1,1.8,0.1,13.1,1.6,0,0,0,0,1
England,35.9,0.4,6.5,2.1,33,0.1,2.2,0,11,1,0,0,0,0,1
Switzerland,40.2,0.7,9.3,3,32.9,0.1,1.9,0.1,11,1.6,0,0,0,0,1
Netherlands,33,0.9,7.1,2,28,0.1,2.3,0,13,1,0,0,0,0,1
Portugal,40.3,0.8,7.4,2.5,34,0.1,2.4,0.1,12.1,1.4,0,0,0,0,1
Poland,42.9,0.9,9.5,3,32.3,0.1,2.5,0.2,10.9,2,0,0,0,0,1
Wales,55.4,0.9,11.1,3.5,31.6,0.1,2.6,0.1,9.3,2.2,0,0,0,0,1
