Squad,Poss,Gls,Sh,SoT,SoT%,PKatt,CrdY,CrdR,Fld,Int,O. CrdY,Confederation_AFC,Confederation_CAF,Confederation_CONCACAF,Confederation_CONMEBOL,Confederation_UEFA
Qatar,47.11,2.2,11.67,4.4,38.35,0.4,1.13,0,13.4,11.53,2.14,1,0,0,0,0
Iran,57,2,15.2,5,33,0.17,0.83,0,12.8,10,2.17,1,0,0,0,0
South Korea,69,1.13,14.7,4.53,30.8,0.19,0.75,0,12.6,9.25,2.08,1,0,0,0,0
Japan,52.09,1.5,12.3,4.6,37.65,0.3,0.7,0,11.67,8.5,1.9,1,0,0,0,0
Saudi Arabia,72.5,1.5,14.5,4,27.6,0,1.25,0,16,7.75,3,1,0,0,0,0
Australia,66,1.13,16.8,5.85,34.8,0,0.75,0,10.2,9.81,1.32,1,0,0,0,0
Ghana,50.14,0.96,10.7,3.04,28.4,0,1.53,0.42,19.29,9.37,1.52,0,1,0,0,0
Senegal,58.6,1.1,12.95,4.45,34.35,0.41,1.1,0,20.9,6.99,2.26,0,1,0,0,0
Tunisia,55.36,0.87,10.36,3.11,29.62,0.4,0.99,0.08,13.47,7.42,1.82,0,1,0,0,0
Cameroon,60.83,1.59,13.78,4.32,30.92,0.17,1.14,0,13.31,6.46,1.76,0,1,0,0,0
Morocco,60.91,1.15,15.01,4.9,32.66,0.42,0.73,0,18.21,10.41,2.29,0,1,0,0,0
Canada,53.89,2.78,15.11,6.11,38.99,0.33,1.89,0,14.67,12.8,1.22,0,0,1,0,0
Mexico,65.75,1.91,19.65,6.53,33.3,0.24,0.95,0,14.75,10.05,1.86,0,0,1,0,0
United States,55.5,2.05,13.35,5.54,41.75,0,0.4,0,11.7,8.51,1.39,0,0,1,0,0
Costa Rica,56.05,1.57,11.1,3.92,34.05,0.12,1.58,0.25,14.15,12.5,1.93,0,0,1,0,0
Brazil,60.27,2.04,13.73,5.55,40.89,0.32,1.62,0.1,15.48,10.12,2.88,0,0,0,1,0
Argentina,54.83,1.47,13.06,5.05,38.77,0.13,1.59,0,16.63,10.97,2.79,0,0,0,1,0
Ecuador,51.83,1.27,11.09,3.73,33.27,0.19,2.19,0.23,12.94,11.16,2.27,0,0,0,1,0
Uruguay,48.55,1.09,12.54,4.2,33.32,0.29,1.29,0.04,13.05,13.07,1.84,0,0,0,1,0
Germany,70.33,2.96,19.18,7.68,39.62,0.23,1,0.05,8.09,9.68,1.46,0,0,0,0,1
Denmark,59.63,2.56,14.93,6.01,40.38,0.25,0.86,0,11.56,9.18,1.98,0,0,0,0,1
Belgium,64.61,2.87,15.53,6.78,43.15,0.18,0.91,0,8.74,7.31,1.57,0,0,0,0,1
France,64,1.8,14.2,5.17,36.35,0.31,1.2,0.05,9.07,7.61,1.66,0,0,0,0,1
Croatia,62.55,1.76,14.93,5.54,37.39,0.18,1.75,0,9.18,8.72,1.71,0,0,0,0,1
Spain,74.59,2.11,17.07,6.29,36.68,0.24,1.22,0.04,11.33,7.73,1.51,0,0,0,0,1
Serbia,53.88,1.94,13.96,6.06,43.68,0.16,1.61,0.06,10.6,9.8,1.78,0,0,0,0,1
England,64.15,2.89,12.38,5.83,47.15,0.4,0.98,0,10.88,9.55,2.19,0,0,0,0,1
Switzerland,59.76,1.77,16.87,5.83,34.73,0.14,1.61,0.04,9.94,10.24,1.91,0,0,0,0,1
Netherlands,66.96,2.64,18.24,7.09,38.88,0.27,1.05,0.05,8.26,6.95,2.05,0,0,0,0,1
Portugal,59.69,2.23,16.4,6.46,38.93,0.41,1.37,0.05,11.33,9.37,2.41,0,0,0,0,1
Poland,57.08,2.08,12.9,4.79,36.81,0.08,1.96,0.04,12.35,10.42,2.5,0,0,0,0,1
Wales,44.59,1.27,11.86,4.32,36.07,0.18,2.23,0.14,13.27,10.51,2.59,0,0,0,0,1
