Squad,Association,Group,Avg. Group Stage Points,Avg. Group Stage Wins
Netherlands,UEFA,A,6.76263,2.25421
England,UEFA,B,6.50892,2.16964
Portugal,UEFA,H,6.40248,2.13416
Spain,UEFA,E,6.26718,2.08906
Germany,UEFA,E,6.1452,2.0484
Brazil,CONMEBOL,G,5.94234,1.98078
Belgium,UEFA,F,5.90847,1.96949
South Korea,AFC,H,5.55603,1.85201
Mexico,CONCACAF,C,5.52792,1.84264
Senegal,CAF,A,5.49564,1.83188
France,UEFA,D,5.4003,1.8001
Denmark,UEFA,D,5.3553,1.7851
Morocco,CAF,F,5.25909,1.75303
Argentina,CONMEBOL,C,4.87338,1.62446
Iran,AFC,B,4.48599,1.49533
Cameroon,CAF,G,4.32573,1.44191
United States,CONCACAF,B,4.31502,1.43834
Switzerland,UEFA,G,3.88155,1.29385
Poland,UEFA,C,3.87096,1.29032
Serbia,UEFA,G,3.85038,1.28346
Croatia,UEFA,F,3.837,1.279
Australia,AFC,D,3.74133,1.24711
Saudi Arabia,AFC,C,3.72774,1.24258
Tunisia,CAF,D,3.50307,1.16769
Qatar,AFC,A,3.37014,1.12338
Uruguay,CONMEBOL,H,3.36942,1.12314
Japan,AFC,E,3.13491,1.04497
Canada,CONCACAF,F,2.99544,0.99848
Wales,UEFA,B,2.69007,0.89669
Ghana,CAF,H,2.67207,0.89069
Costa Rica,CONCACAF,E,2.45271,0.81757
Ecuador,CONMEBOL,A,2.37159,0.79053
