Country,Odds,Implied Probability
Brazil ,450,18.20%
England ,550,15.40%
France ,600,14.30%
Argentina ,700,12.50%
Spain ,800,11.10%
Germany ,1000,9.10%
Portugal ,1200,7.70%
Netherlands ,1200,7.70%
Belgium ,1400,6.70%
Denmark ,2800,3.40%
Croatia ,5000,2.00%
Uruguay ,5000,2.00%
Switzerland ,8000,1.20%
Senegal ,8000,1.20%
USA ,10000,1.00%
Poland ,12500,0.80%
Serbia ,15000,0.70%
Mexico ,15000,0.70%
Ecuador ,15000,0.70%
Canada ,15000,0.70%
Wales ,15000,0.70%
Cameroon ,20000,0.50%
Morocco ,20000,0.50%
Japan ,25000,0.40%
South Korea ,25000,0.40%
Ghana ,25000,0.40%
Australia ,25000,0.40%
Qatar ,35000,0.30%
Tunisia ,35000,0.30%
Saudi Arabia ,75000,0.10%
Iran ,75000,0.10%
Costa Rica ,75000,0.10%
,,
