Rank,Team,Titles,Part's,Played,Win,Draw,Lose,Goal_For,Goal_Against,Goal_Difference,Points,Points%
1,Egypt,7,24,100,57,17,26,164,88,76,188,62.7
2,Ghana,4,22,99,54,20,25,130,82,48,182,61.3
3,Nigeria,3,18,93,51,21,21,132,89,43,174,62.4
4,Ivory Coast,2,23,95,42,25,28,138,100,38,151,53
5,Cameroon,5,19,84,41,27,16,123,76,47,150,59.5
6,Algeria,2,18,74,28,21,25,93,85,8,105,47.3
7,Zambia,1,17,67,26,20,21,81,69,12,98,48.8
8,Tunisia,1,19,75,23,29,23,94,91,3,98,43.5
9,Morocco,1,17,65,24,23,18,74,58,16,95,48.7
10,DR Congo,2,19,73,20,24,29,88,102,14,84,38.3
11,Senegal,,15,60,23,14,23,69,54,15,83,46.1
12,Mali,,11,50,17,17,16,61,64,3,68,45.3
13,South Africa,1,10,42,16,13,14,48,45,3,61,48.4
14,Guinea,,12,43,12,16,15,59,63,4,52,40.3
15,Burkina Faso,,11,41,7,13,21,38,62,24,34,27.6
16,Congo,1,7,26,7,7,12,27,40,13,28,35.9
17,Sudan,1,8,24,7,6,11,28,38,10,27,37.5
18,Gabon,,7,21,6,7,8,19,26,7,25,39.7
19,Angola,,8,26,4,12,10,30,39,9,24,30.7
20,Ethiopia,1,10,27,7,3,17,29,61,32,24,29.6
21,Togo,,8,25,3,8,14,19,42,23,17,22.7
22,Equatorial Guinea,,2,10,4,3,3,8,10,2,15,50
23,Uganda,,7,23,4,3,16,21,38,17,15,21.7
24,Libya,,3,11,3,5,3,12,13,1,14,42.4
25,Kenya,,6,17,2,4,11,12,31,20,10,19.6
26,Madagascar,,1,5,2,2,1,7,7,0,8,53.3
27,Cape Verde,,2,7,1,5,1,4,5,1,8,38.1
28,Zimbabwe,,4,12,2,2,8,13,27,14,8,22.2
29,Liberia,,2,5,1,2,2,5,7,2,5,33.3
30,Benin,,4,14,0,5,9,7,24,17,5,11.9
31,Rwanda,,1,3,1,1,1,3,3,0,4,44.4
32,Malawi,,2,6,1,1,4,6,11,5,4,22.2
33,Sierra Leone,,2,5,1,1,3,2,11,9,4,26.7
34,Mauritania,,1,3,0,2,1,1,4,3,2,22.2
35,Guinea-Bissau,,2,6,0,2,4,2,9,7,2,11.1
36,Namibia,,3,9,0,2,7,10,24,14,2,7.4
37,Mozambique,,4,12,0,2,10,4,26,22,2,5.6
38,Niger,,2,6,0,1,5,1,9,8,1,5.6
39,Tanzania,,2,6,0,1,5,5,14,9,1,5.5
40,Burundi,,1,3,0,0,3,0,4,4,0,0
41,Mauritius,,1,3,0,0,3,2,8,6,0,0
42,Botswana,,1,3,0,0,3,2,9,7,0,0
